Date,PX_LAST
#NAME?,375.7
2022-12-29,377.63
2022-12-28,385.01
2022-12-27,395.08
2022-12-23,399.87
2022-12-22,399.42
2022-12-21,393.29
2022-12-20,403.67
2022-12-19,390.74
2022-12-16,391.1
2022-12-15,398.79
2022-12-14,403.45
2022-12-13,412.75
2022-12-12,419.55
2022-12-09,409.08
2022-12-08,412.84
2022-12-07,410.29
2022-12-06,408.55
2022-12-05,406.44
2022-12-02,407.74
2022-12-01,396.82
2022-11-30,394.5
2022-11-29,377.85
2022-11-28,366.89
2022-11-25,366.76
2022-11-23,353.29
2022-11-22,344.52
2022-11-21,347.79
2022-11-18,338.17
2022-11-17,338.03
2022-11-16,342.64
2022-11-15,357.18
2022-11-14,350.65
2022-11-11,353.2
2022-11-10,338.09
2022-11-09,334.06
2022-11-08,346.18
2022-11-07,349.68
2022-11-04,341.66
2022-11-03,341.3
2022-11-02,343.18
2022-11-01,343.27
2022-10-31,357.81
2022-10-28,363.36
2022-10-27,358.88
2022-10-26,339.11
2022-10-25,345.01
2022-10-24,323.58
2022-10-21,307.47
2022-10-20,299.19
2022-10-19,301.07
2022-10-18,303.22
2022-10-17,302.06
2022-10-14,304.34
2022-10-13,308.01
2022-10-12,298.48
2022-10-11,296.82
2022-10-10,298.75
2022-10-07,312.53
2022-10-06,308.55
2022-10-05,300.09
2022-10-04,299.42
2022-10-03,295.03
2022-09-30,298.57
2022-09-29,294.09
2022-09-28,291.5
2022-09-27,304.07
2022-09-26,314.68
2022-09-23,294.27
2022-09-22,315.17
2022-09-21,312.26
2022-09-20,318.3
2022-09-19,318.12
2022-09-16,327.83
2022-09-15,321.48
2022-09-14,324.56
2022-09-13,312.08
2022-09-12,321.34
2022-09-09,295.66
2022-09-08,300.85
2022-09-07,308.86
2022-09-06,312.66
2022-09-02,348.5
2022-09-01,361.48
2022-08-31,358.08
2022-08-30,361.57
2022-08-29,387.74
2022-08-26,404.07
2022-08-25,399.6
2022-08-24,399.28
2022-08-23,399.51
2022-08-22,412.39
2022-08-19,438.52
2022-08-18,429.71
2022-08-17,428.64
2022-08-16,411.99
2022-08-15,406.17
2022-08-12,397.63
2022-08-11,391.72
2022-08-10,384.43
2022-08-09,384.47
2022-08-08,374.99
2022-08-05,379.24
2022-08-04,376.69
2022-08-03,375.79
2022-08-02,366.67
2022-08-01,360.54
2022-07-29,351.45
2022-07-28,353.29
2022-07-27,340.67
2022-07-26,343.09
2022-07-25,341.7
2022-07-22,341.39
2022-07-21,349.49
2022-07-20,352.75
2022-07-19,374.27
2022-07-18,380.04
2022-07-15,382.01
2022-07-14,375.7
2022-07-13,375.21
2022-07-12,383.22
2022-07-11,377.45
2022-07-08,370.43
2022-07-07,379.96
2022-07-06,372.35
2022-07-05,372.21
2022-07-01,382.91
2022-06-30,403.4
2022-06-29,395.3
2022-06-28,391.05
2022-06-27,380.54
2022-06-24,373.29
2022-06-23,376.42
2022-06-22,366.35
2022-06-21,379.11
2022-06-17,368.55
2022-06-16,371.36
2022-06-15,385.68
2022-06-14,376.51
2022-06-13,364.83
2022-06-10,366.26
2022-06-09,362.46
2022-06-08,357.09
2022-06-07,363.8
2022-06-06,364.34
2022-06-03,388.68
2022-06-02,386.31
2022-06-01,385.15
2022-05-31,375.93
2022-05-27,376.73
2022-05-26,379.24
2022-05-25,364.21
2022-05-24,363.85
2022-05-23,349.66
2022-05-20,359.69
2022-05-19,372.17
2022-05-18,378.7
2022-05-17,410.38
2022-05-16,400.72
2022-05-13,395.88
2022-05-12,394.9
2022-05-11,397.45
2022-05-10,390.78
2022-05-09,389.35
2022-05-06,409.57
2022-05-05,397.81
2022-05-04,395.12
2022-05-03,394.59
2022-05-02,371.54
2022-04-29,377.85
2022-04-28,369.93
2022-04-27,362.46
2022-04-26,370.07
2022-04-25,373.42
2022-04-22,398.17
2022-04-21,386.76
2022-04-20,392.93
2022-04-19,358.84
2022-04-18,357.81
2022-04-14,357.81
2022-04-13,346.49
2022-04-12,353.51
2022-04-11,348.77
2022-04-08,358.34
2022-04-07,357.67
2022-04-06,345.32
2022-04-05,349.22
2022-04-04,351.23
2022-04-01,351.19
2022-03-31,342.19
2022-03-30,350.38
2022-03-29,365.55
2022-03-28,361.57
2022-03-25,351.68
2022-03-24,350.07
2022-03-23,342.73
2022-03-22,360.94
2022-03-21,350.74
2022-03-18,352.98
2022-03-17,357.45
2022-03-16,349.71
2022-03-15,346.44
2022-03-14,350.25
2022-03-11,343.45
2022-03-10,341.88
2022-03-09,327.43
2022-03-08,306.53
2022-03-07,260.85
2022-03-04,291.28
2022-03-03,301.34
2022-03-02,306.44
2022-03-01,308.05
2022-02-28,367.83
2022-02-25,394.36
2022-02-24,389.4
2022-02-23,425.37
2022-02-22,401.66
2022-02-18,400.31
2022-02-17,386.76
2022-02-16,402.06
2022-02-15,407.79
2022-02-14,410.56
2022-02-11,415.53
2022-02-10,406.17
2022-02-09,406.22
2022-02-08,433.69
2022-02-07,432.66
2022-02-04,431.54
2022-02-03,424.21
2022-02-02,421.52
2022-02-01,400.54
2022-01-31,399.28
2022-01-28,399.19
2022-01-27,401.61
2022-01-26,396.69
2022-01-25,391.28
2022-01-24,375.93
2022-01-21,377.94
2022-01-20,382.95
2022-01-19,367.29
2022-01-18,369.89
2022-01-14,367.25
2022-01-13,360.45
2022-01-12,357.99
2022-01-11,363.76
2022-01-10,358.34
2022-01-07,382.19
2022-01-06,388.1
2022-01-05,391.86
2022-01-04,379.91
2022-01-03,375.88
2021-12-31,360.85
2021-12-30,358.66
2021-12-29,359.55
2021-12-28,354.77
2021-12-27,344.16
2021-12-23,333.15
2021-12-22,343.76
2021-12-21,362.15
2021-12-20,358.34
2021-12-17,331.19
2021-12-16,383.49
2021-12-15,363.27
2021-12-14,358.48
2021-12-13,370.11
2021-12-10,377.49
2021-12-09,361.88
2021-12-08,400.04
2021-12-07,381.83
2021-12-06,365.32
2021-12-03,351.86
2021-12-02,359.06
2021-12-01,345.41
2021-11-30,338.84
2021-11-29,333.51
2021-11-26,327.16
2021-11-24,327.65
2021-11-23,310.92
2021-11-22,314.18
2021-11-19,311.63
2021-11-18,310.43
2021-11-17,301.79
2021-11-16,303.49
2021-11-15,296.29
2021-11-12,284.47
2021-11-11,286.44
2021-11-10,283.74
2021-11-09,271.2
2021-11-08,271.87
2021-11-05,266.03
2021-11-04,267.83
2021-11-03,267.65
2021-11-02,266.04
2021-11-01,254.77
2021-10-29,262.68
2021-10-28,262.06
2021-10-27,268.01
2021-10-26,267.61
2021-10-25,263.94
2021-10-22,260.72
2021-10-21,259.42
2021-10-20,258.52
2021-10-19,244.07
2021-10-18,262.01
2021-10-15,265.95
2021-10-14,274.9
2021-10-13,264.3
2021-10-12,263.67
2021-10-11,264.65
2021-10-08,260.98
2021-10-07,270.11
2021-10-06,264.52
2021-10-05,289.57
2021-10-04,283.67
2021-10-01,277.58
2021-09-30,276.24
2021-09-29,281.34
2021-09-28,277.05
2021-09-27,288.01
2021-09-24,281.61
2021-09-23,270.87
2021-09-22,271.14
2021-09-21,269.17
2021-09-20,271.5
2021-09-17,266.13
2021-09-16,265.37
2021-09-15,267.83
2021-09-14,267.79
2021-09-13,273.24
2021-09-10,272.57
2021-09-09,280.76
2021-09-08,279.42
2021-09-07,277.36
2021-09-03,274.36
2021-09-02,275.26
2021-09-01,268.99
2021-08-31,271.86
2021-08-30,271.86
2021-08-27,263.98
2021-08-26,254.41
2021-08-25,252.98
2021-08-24,253.42
2021-08-23,247.61
2021-08-20,243.31
2021-08-19,239.37
2021-08-18,255.62
2021-08-17,256.06
2021-08-16,260.22
2021-08-13,247.79
2021-08-12,251.72
2021-08-11,258.52
2021-08-10,256.87
2021-08-09,253.33
2021-08-06,253.51
2021-08-05,250.47
2021-08-04,248.14
2021-08-03,242.46
2021-08-02,243.53
2021-07-30,238.61
2021-07-29,241.83
2021-07-28,240.89
2021-07-27,236.73
2021-07-26,238.03
2021-07-23,227.7
2021-07-22,227.25
2021-07-21,233.29
2021-07-20,229.13
2021-07-19,234.5
2021-07-16,236.64
2021-07-15,237
2021-07-14,238.79
2021-07-13,236.47
2021-07-12,231.36
2021-07-09,242.77
2021-07-08,234.23
2021-07-07,235.44
2021-07-06,241.7
2021-07-02,256.6
2021-07-01,257.94
2021-06-30,252.21
2021-06-29,248.95
2021-06-28,248.32
2021-06-25,246.31
2021-06-24,246.49
2021-06-23,244.61
2021-06-22,238.97
2021-06-21,234.54
2021-06-18,232.21
2021-06-17,227.79
2021-06-16,229.71
2021-06-15,229.98
2021-06-14,236.69
2021-06-11,235.66
2021-06-10,240.63
2021-06-09,239.42
2021-06-08,233.42
2021-06-07,230.29
2021-06-04,223.58
2021-06-03,224.79
2021-06-02,229.98
2021-06-01,234.5
2021-05-28,228.32
2021-05-27,231.95
2021-05-26,240.13
2021-05-25,238.57
2021-05-24,236.11
2021-05-21,231.54
2021-05-20,235.79
2021-05-19,222.28
2021-05-18,237.45
2021-05-17,252.08
2021-05-14,253.47
2021-05-13,243.8
2021-05-12,247.52
2021-05-11,237.32
2021-05-10,233.65
2021-05-07,225.73
2021-05-06,223.45
2021-05-05,221.25
2021-05-04,217.49
2021-05-03,221.12
2021-04-30,218.52
2021-04-29,214.85
2021-04-28,213.83
2021-04-27,211.63
2021-04-26,211.19
2021-04-23,210.07
2021-04-22,210.69
2021-04-21,205.41
2021-04-20,200.85
2021-04-19,198.43
2021-04-16,198.75
2021-04-15,197.58
2021-04-14,196.06
2021-04-13,196.2
2021-04-12,199.02
2021-04-09,195.26
2021-04-08,194.54
2021-04-07,196.24
2021-04-06,197.94
2021-04-05,190.02
2021-04-01,190.02
2021-03-31,190.38
2021-03-30,188.14
2021-03-29,187.25
2021-03-26,186.71
2021-03-25,180.54
2021-03-24,186.13
2021-03-23,185.37
2021-03-22,191.68
2021-03-19,187.79
2021-03-18,189.71
2021-03-17,192.35
2021-03-16,186.13
2021-03-15,189.66
2021-03-12,191.72
2021-03-11,187.61
2021-03-10,185.86
2021-03-09,181.88
2021-03-08,175.08
2021-03-05,174.59
2021-03-04,170.74
2021-03-03,167.65
2021-03-02,171.59
2021-03-01,166.13
2021-02-26,166.8
2021-02-25,171.19
2021-02-24,175.17
2021-02-23,173.02
2021-02-22,169.84
2021-02-19,167.34
2021-02-18,171.45
2021-02-17,170.43
2021-02-16,173.87
2021-02-12,179.06
2021-02-11,173.42
2021-02-10,175.97
2021-02-09,171.19
2021-02-08,172.75
2021-02-05,170.92
2021-02-04,166.76
2021-02-03,167.47
2021-02-02,156.47
2021-02-01,146.98
2021-01-29,147.43
2021-01-28,151.9
2021-01-27,148.9
2021-01-26,149.22
2021-01-25,148.37
2021-01-22,153.2
2021-01-21,152.62
2021-01-20,147.25
2021-01-19,148.05
2021-01-15,142.01
2021-01-14,150.02
2021-01-13,150.56
2021-01-12,155.08
2021-01-11,154.5
2021-01-08,156.24
2021-01-07,155.53
2021-01-06,150.47
2021-01-05,147.47
2021-01-04,150.74
2020-12-31,146.4
2020-12-30,144.03
2020-12-29,147.74
2020-12-28,149.62
2020-12-24,144.03
2020-12-23,142.82
2020-12-22,139.37
2020-12-21,138.21
2020-12-18,139.15
2020-12-17,143
2020-12-16,142.19
2020-12-15,143.98
2020-12-14,138.75
2020-12-11,137.49
2020-12-10,139.24
2020-12-09,133.83
2020-12-08,133.2
2020-12-07,133.42
2020-12-04,135.62
2020-12-03,130.65
2020-12-02,133.11
2020-12-01,130.07
2020-11-30,131.28
2020-11-27,126.76
2020-11-25,124.34
2020-11-24,124.34
2020-11-23,122.64
2020-11-20,120.31
2020-11-19,118.52
2020-11-18,122.28
2020-11-17,119.78
2020-11-16,123.13
2020-11-13,118.17
2020-11-12,116.55
2020-11-11,117.38
2020-11-10,117.74
2020-11-09,119.04
2020-11-06,113.86
2020-11-05,116.24
2020-11-04,112.35
2020-11-03,109.13
2020-11-02,105.91
2020-10-30,106.09
2020-10-29,105.91
2020-10-28,103.04
2020-10-27,107.7
2020-10-26,106.71
2020-10-23,114.05
2020-10-22,108.19
2020-10-21,105.41
2020-10-20,109.22
2020-10-19,111.77
2020-10-16,111.36
2020-10-15,111.68
2020-10-14,115.21
2020-10-13,112.84
2020-10-12,115.75
2020-10-09,115.03
2020-10-08,117.85
2020-10-07,120.36
2020-10-06,119.87
2020-10-05,120.54
2020-10-02,120.94
2020-10-01,118.61
2020-09-30,120.49
2020-09-29,119.87
2020-09-28,123.98
2020-09-25,117.09
2020-09-24,119.87
2020-09-23,118.57
2020-09-22,124.61
2020-09-21,118.12
2020-09-18,125.23
2020-09-17,127.2
2020-09-16,134.18
2020-09-15,133.29
2020-09-14,136.33
2020-09-11,126.44
2020-09-10,127.16
2020-09-09,121.7
2020-09-08,119.87
2020-09-04,122.42
2020-09-03,128.59
2020-09-02,126.31
2020-09-01,124.12
2020-08-31,128.23
2020-08-28,132.08
2020-08-27,126.94
2020-08-26,128.05
2020-08-25,128.01
2020-08-24,122.95
2020-08-21,114.77
2020-08-20,115.88
2020-08-19,117.36
2020-08-18,118.79
2020-08-17,117.67
2020-08-14,114
2020-08-13,113.78
2020-08-12,116.2
2020-08-11,117.18
2020-08-10,119.51
2020-08-07,118.21
2020-08-06,118.08
2020-08-05,119.78
2020-08-04,120.04
2020-08-03,116.91
