Date,PX_LAST,PX_VOLUME
#NAME?,81.49,1803
2022-12-29,82,467
2022-12-28,83.54,1496
2022-12-27,85.77,303
2022-12-23,86.81,1331
2022-12-22,86.72,1082
2022-12-21,85.35,1742
2022-12-20,87.67,7627
2022-12-19,84.11,5208
2022-12-16,83.82,17925
2022-12-15,85.5,31056
2022-12-14,86.61,36064
2022-12-13,88.64,25913
2022-12-12,90.17,20582
2022-12-09,87.84,26049
2022-12-08,88.67,29003
2022-12-07,88.07,24981
2022-12-06,87.69,48235
2022-12-05,87.31,27588
2022-12-02,87.67,29743
2022-12-01,85.22,28959
2022-11-30,84.69,32887
2022-11-29,81.25,17137
2022-11-28,78.81,22276
2022-11-25,78.86,13609
2022-11-24,78.27,16632
2022-11-23,75.87,19416
2022-11-22,73.89,17410
2022-11-21,74.61,18751
2022-11-18,72.47,19317
2022-11-17,72.4,21449
2022-11-16,73.41,30683
2022-11-15,76.65,20444
2022-11-14,75.23,20132
2022-11-11,75.84,20326
2022-11-10,73.05,27274
2022-11-09,72.76,37958
2022-11-08,76.06,22831
2022-11-07,77.49,17475
2022-11-04,76.36,20663
2022-11-03,76.28,26292
2022-11-02,76.7,13906
2022-11-01,76.72,20002
2022-10-31,79.97,13800
2022-10-28,81.21,18873
2022-10-27,80.21,26463
2022-10-26,75.79,22977
2022-10-25,77.11,31487
2022-10-24,72.32,23321
2022-10-21,68.72,12835
2022-10-20,66.87,18013
2022-10-19,67.29,19134
2022-10-18,67.77,18002
2022-10-17,67.51,16567
2022-10-14,68.02,13335
2022-10-13,68.84,26083
2022-10-12,66.71,21019
2022-10-11,66.34,16720
2022-10-10,66.77,17059
2022-10-07,69.85,15419
2022-10-06,68.96,15702
2022-10-05,67.07,19794
2022-10-04,66.92,19875
2022-10-03,65.94,14309
2022-09-30,66.73,16143
2022-09-29,65.73,19934
2022-09-28,65.15,24121
2022-09-27,67.96,16530
2022-09-26,69.97,52
2022-09-23,65.41,507
2022-09-22,70.05,1
2022-09-21,69.4,1009
2022-09-20,70.74,270
2022-09-19,70.71,107
2022-09-16,72.87,#N/A N/A
2022-09-15,71.45,307
2022-09-14,72.14,50
2022-09-13,69.36,58
2022-09-12,71.44,27
2022-09-09,65.72,6
2022-09-08,66.93,51
2022-09-07,68.71,50
2022-09-06,69.57,32
2022-09-05,74.05,1413
2022-09-02,77.45,9125
2022-09-01,80.33,1442
2022-08-31,79.61,140
2022-08-30,80.34,33
2022-08-29,86.24,25
2022-08-26,89.94,30
2022-08-25,88.95,131
2022-08-24,88.86,10
2022-08-23,88.94,16
2022-08-22,91.83,11
2022-08-19,97.67,192
2022-08-18,95.72,398
2022-08-17,95.5,320
2022-08-16,91.77,21
2022-08-15,90.48,1
2022-08-12,88.58,1
2022-08-11,87.27,5
2022-08-10,85.63,2
2022-08-09,85.65,#N/A N/A
2022-08-08,83.53,1
2022-08-05,84.48,10
2022-08-04,83.9,98
2022-08-03,83.71,#N/A N/A
2022-08-02,81.66,35
2022-08-01,80.28,121
2022-07-29,78.27,648
2022-07-28,78.68,18
2022-07-27,75.85,1
2022-07-26,76.39,2447
2022-07-25,76.08,180
2022-07-22,76.03,1955
2022-07-21,77.85,1821
2022-07-20,78.58,775
2022-07-19,83.37,201
2022-07-18,84.66,100
2022-07-15,85.09,65
2022-07-14,83.7,115
2022-07-13,83.59,#N/A N/A
2022-07-12,85.37,254
2022-07-11,84.07,#N/A N/A
2022-07-08,82.51,46
2022-07-07,84.64,5
2022-07-06,82.94,100
2022-07-05,82.99,#N/A N/A
2022-07-04,84.29,#N/A N/A
2022-07-01,85.3,#N/A N/A
2022-06-30,89.88,2
2022-06-29,88.07,#N/A N/A
2022-06-28,87.12,4
2022-06-27,84.59,548
2022-06-24,82.98,182
2022-06-23,83.67,252
2022-06-22,81.42,747
2022-06-21,84.27,643
