Date,PX_LAST,VOLATILITY_30D
#NAME?,20.23154,90.46
2022-12-29,20.07115,90.8
2022-12-28,20.82981,90.25
2022-12-27,20.35157,89.94
2022-12-23,19.64975,89.7
2022-12-22,20.75579,89.99
2022-12-21,18.93218,86.95
2022-12-20,20.23552,91.11
2022-12-19,21.10118,91.13
2022-12-16,21.32956,92.21
2022-12-15,21.53977,92.29
2022-12-14,19.84604,89.1
2022-12-13,21.24352,87.22
2022-12-12,23.73268,81.1
2022-12-09,21.64802,75.54
2022-12-08,21.13998,75.15
2022-12-07,21.56303,76.6
2022-12-06,21.15054,76.43
2022-12-05,19.77132,73.86
2022-12-02,18.10754,67.99
2022-12-01,18.88085,67.81
2022-11-30,19.95153,66.73
2022-11-29,21.17021,65.47
2022-11-28,21.41755,66.14
2022-11-25,19.70017,59.16
2022-11-24,19.61764,58.99
2022-11-23,19.63528,59.3
2022-11-22,20.67793,59.73
2022-11-21,21.85087,59
2022-11-18,22.37492,60.38
2022-11-17,23.12077,62.27
2022-11-16,23.21841,63.55
2022-11-15,23.63024,68.16
2022-11-14,22.95859,67.25
2022-11-11,21.77529,65.67
2022-11-10,23.19826,64.88
2022-11-09,26.01975,56.4
2022-11-08,25.31721,57.74
2022-11-07,24.29655,60.78
2022-11-04,24.7405,61.24
2022-11-03,25.9567,66.29
2022-11-02,26.17409,73.92
2022-11-01,26.11819,74.1
2022-10-31,26.17579,75.27
2022-10-28,25.90804,77.15
2022-10-27,27.45039,75.35
2022-10-26,27.07424,75.26
2022-10-25,28.59152,73.26
2022-10-24,30.2401,72.29
2022-10-21,30.17583,84.18
2022-10-20,30.58247,84.32
2022-10-19,31.49703,85.06
2022-10-18,30.94562,86.43
2022-10-17,31.88332,91.09
2022-10-14,32.94917,90.75
2022-10-13,32.67519,90.88
2022-10-12,34.66543,88.59
2022-10-11,34.43932,88.64
2022-10-10,33.48122,88.79
2022-10-07,32.12786,88.24
2022-10-06,31.13333,88.04
2022-10-05,28.94657,97.21
2022-10-04,29.15747,98.6
2022-10-03,30.68923,98.66
2022-09-30,32.29826,96.93
2022-09-29,32.56956,105.91
2022-09-28,31.10699,106.26
2022-09-27,34.02212,101.46
2022-09-26,33.52733,101.48
2022-09-23,30.82312,99.82
2022-09-22,27.79472,96.16
2022-09-21,28.35866,96.39
2022-09-20,27.21443,96.04
2022-09-19,25.72913,101.52
2022-09-16,26.2816,101.23
2022-09-15,26.25425,101.21
2022-09-14,26.16785,101.32
2022-09-13,27.27546,100.93
2022-09-12,23.53115,94.65
2022-09-09,22.66759,95.4
2022-09-08,23.68342,96.02
2022-09-07,24.70671,96.37
2022-09-06,27.15713,92.72
2022-09-05,26.17585,94.16
2022-09-02,25.54664,95.79
2022-09-01,25.72205,95.79
2022-08-31,25.73105,95.86
2022-08-30,26.14725,96.29
2022-08-29,26.17074,96.56
2022-08-26,25.61122,97.2
2022-08-25,21.86527,84.92
2022-08-24,22.92776,88.32
2022-08-23,24.16074,87.09
